Название,Цена,Изменение,Общая капитализация
Cronos,$0.1106,+0.10%,"$2,794,455,301"
Monero,$146.94,-0.97%,"$2,671,822,809"
Algorand,$0.3526,+0.83%,"$2,473,526,223"
Bitcoin Cash,$123.02,-1.25%,"$2,361,130,724"
Terra Classic,$0.000299,+4.91%,"$1,839,440,052"
Flow,$1.69,+0.92%,"$1,750,720,696"
Toncoin,$1.42,-1.19%,"$1,733,520,900"
VeChain,$0.02388,+0.61%,"$1,731,467,107"
Quant,$137.77,+2.93%,"$1,663,244,123"
Filecoin,$5.60,-0.23%,"$1,644,527,937"
ApeCoin,$5.22,+1.10%,"$1,600,690,016"
Internet Computer,$6.03,+1.38%,"$1,582,725,953"
Hedera,$0.05806,+0.31%,"$1,333,551,835"
Decentraland,$0.7066,-0.89%,"$1,310,867,843"
Tezos,$1.43,+1.53%,"$1,304,848,121"
The Sandbox,$0.8666,-2.39%,"$1,299,454,587"
Chiliz,$0.2165,+0.79%,"$1,299,049,292"
Elrond,$54.85,+2.20%,"$1,290,023,776"
EOS,$1.18,+1.83%,"$1,180,695,116"
Aave,$78.46,+0.05%,"$1,105,814,474"
Theta Network,$1.08,-0.67%,"$1,082,105,508"
Axie Infinity,$12.81,+0.22%,"$1,064,355,570"
Bitcoin SV,$49.48,-1.25%,"$949,505,732"
Pax Dollar,$0.9998,+0.49%,"$945,471,070"
OKB,$15.60,+0.55%,"$936,250,831"
KuCoin Token,$9.13,+0.36%,"$898,144,894"
TrueUSD,$1.00,-0.05%,"$891,215,536"
Zcash,$56.86,-0.42%,"$876,487,802"
Maker,$838.44,+1.43%,"$819,684,576"
eCash,$0.00004229,-0.56%,"$811,540,895"
USDD,$1,-0.05%,"$786,746,316"
IOTA,$0.2752,+1.90%,"$764,847,271"
BitTorrent-New,$0.0000007933,-0.68%,"$747,830,623"
Helium,$5.65,-7.76%,"$720,786,227"
The Graph,$0.09956,+0.73%,"$686,959,695"
Neutrino USD,$0.9736,+0.01%,"$662,296,818"
PancakeSwap,$4.70,+1.60%,"$655,622,418"
Huobi Token,$4.11,-0.81%,"$630,422,147"
Neo,$8.71,+2.28%,"$614,472,785"
Klaytn,$0.1894,+0.45%,"$579,192,632"
Fantom,$0.2262,+0.58%,"$575,662,391"
PAX Gold,"$1,709.41",+0.39%,"$555,916,915"
Synthetix,$2.32,+0.65%,"$553,607,286"
THORChain,$1.65,-0.82%,"$545,492,805"
Nexo,$0.8943,+0.12%,"$500,799,694"
Curve DAO Token,$0.9044,+0.27%,"$480,769,593"
GateToken,$4.42,-1.19%,"$479,018,632"
Lido DAO,$1.53,+2.26%,"$477,849,498"
Dash,$42.15,-0.25%,"$461,335,195"
Basic Attention Token,$0.305,+0.83%,"$456,117,239"
Enjin Coin,$0.4529,+0.80%,"$452,939,745"
Stacks,$0.3269,+0.10%,"$437,216,655"
Kava,$1.56,-0.70%,"$436,604,249"
Compound,$59.35,+1.05%,"$431,272,338"
Fei USD,$0.9947,-0.60%,"$422,744,369"
Zilliqa,$0.03151,+0.91%,"$421,484,855"
Waves,$3.82,+0.58%,"$418,184,244"
Mina,$0.5924,+0.15%,"$413,404,300"
Ravencoin,$0.03455,+2.79%,"$405,622,113"
Trust Wallet Token,$0.9454,-3.97%,"$393,904,772"
Reserve Rights,$0.009279,+0.07%,"$392,523,602"
Loopring,$0.295,+1.07%,"$392,443,820"
Decred,$26.65,-0.96%,"$383,770,958"
Convex Finance,$5.61,-4.92%,"$379,691,320"
XDC Network,$0.03056,+2.45%,"$376,074,015"
NEM,$0.04168,-0.93%,"$375,115,373"
STEPN,$0.6249,+0.12%,"$374,934,023"
Kusama,$43.15,+0.89%,"$365,467,844"
Celo,$0.7791,+0.65%,"$364,540,074"
Bitcoin Gold,$20.48,+0.91%,"$358,738,827"
Holo,$0.00203,-0.19%,"$351,820,078"
Ethereum Name Service,$17.21,-6.98%,"$348,424,746"
1inch Network,$0.583,+0.13%,"$340,368,762"
Terra,$2.54,-0.74%,"$324,140,174"
Celsius,$1.36,+0.96%,"$323,677,468"
BinaryX,$157.12,-1.24%,"$317,831,994"
Arweave,$9.50,+1.09%,"$317,360,944"
yearn.finance,"$8,318.74",-0.68%,"$304,779,819"
Oasis Network,$0.06053,+1.03%,"$304,316,653"
Qtum,$2.88,+0.56%,"$300,355,208"
Gemini Dollar,$0.9959,+0.28%,"$300,237,723"
Ankr,$0.03101,-0.65%,"$299,662,882"
Gnosis,$116.06,+4.12%,"$299,394,618"
TerraClassicUSD,$0.03034,+3.90%,"$297,794,530"
Gala,$0.04115,+0.26%,"$287,145,367"
Kadena,$1.41,-0.37%,"$278,999,967"
Theta Fuel,$0.05238,+0.02%,"$277,673,390"
IoTeX,$0.02833,+0.74%,"$270,265,471"
Braintrust,$2.18,+2.57%,"$266,551,524"
Golem,$0.2643,-0.02%,"$264,346,942"
Harmony,$0.01974,+1.19%,"$249,772,186"
OMG Network,$1.72,+0.93%,"$240,881,516"
Polymath,$0.2517,+2.30%,"$232,824,047"
Flux,$0.8232,+3.49%,"$228,761,996"
Livepeer,$9.21,+3.44%,"$228,375,911"
0x,$0.269,+0.45%,"$227,942,054"
Balancer,$5.19,+0.30%,"$227,499,944"
Hive,$0.5061,-0.91%,"$225,329,528"
JUST,$0.02531,+1.08%,"$225,309,983"
IOST,$0.01189,+0.84%,"$220,943,564"
BORA,$0.237,+0.42%,"$219,827,663"
ICON,$0.2389,+0.50%,"$219,651,337"
Amp,$0.005118,-0.82%,"$216,127,821"
Symbol,$0.03732,+1.93%,"$208,357,254"
Serum,$0.7859,+0.15%,"$206,886,801"
Kyber Network Crystal v2,$1.15,+0.11%,"$204,926,571"
Optimism,$0.8601,+1.19%,"$201,899,197"
Ontology,$0.2264,+0.53%,"$198,139,897"
SwissBorg,$0.1961,-4.53%,"$196,099,658"
WAX,$0.08567,+1.43%,"$187,543,072"
Storj,$0.454,+0.56%,"$187,482,014"
Moonbeam,$0.4706,-0.54%,"$187,263,996"
Immutable X,$0.7938,-0.37%,"$186,776,600"
Chia,$34.69,-1.84%,"$183,154,153"
Siacoin,$0.003505,+0.40%,"$183,023,342"
Casper,$0.02996,+1.55%,"$182,782,410"
MXC,$0.06833,-0.13%,"$180,534,497"
Horizen,$13.97,+2.90%,"$180,137,157"
SXP,$0.3582,+0.52%,"$179,003,741"
Audius,$0.2143,+2.74%,"$178,054,127"
UMA,$2.35,-1.75%,"$161,844,544"
WOO Network,$0.1403,+2.50%,"$161,981,571"
ABBC Coin,$0.1579,+0.81%,"$161,102,413"
Smooth Love Potion,$0.003735,-12.90%,"$160,371,128"
SKALE Network,$0.03901,+0.95%,"$155,583,479"
SushiSwap,$1.21,-6.28%,"$153,740,639"
PlayDapp,$0.3146,+0.63%,"$153,600,341"
Secret,$0.9332,+1.52%,"$152,387,911"
Voyager Token,$0.5468,+1.13%,"$152,267,700"
DigiByte,$0.009591,+1.22%,"$150,567,007"
APENFT,$0.0000005384,-2.26%,"$149,173,039"
Injective,$1.94,-6.26%,"$141,713,483"
COTI,$0.1263,-1.92%,"$139,975,487"
Dogelon Mars,$0.0000002534,-0.33%,"$138,754,919"
Pundi X (New),$0.5101,-5.38%,"$131,850,432"
Ren,$0.1303,-3.65%,"$130,135,378"
DAO Maker,$1.41,+2.55%,"$129,676,426"
Civic,$0.1281,+0.19%,"$128,147,031"
Velas,$0.05348,+3.86%,"$126,157,817"
Nervos Network,$0.003777,+1.73%,"$125,924,485"
Render Token,$0.4943,+3.20%,"$125,454,679"
Lisk,$0.9683,-0.34%,"$124,813,618"
Keep Network,$0.1434,-0.06%,"$123,454,671"
MediBloc,$0.01945,-0.04%,"$121,056,765"
Energy Web Token,$3.95,-1.11%,"$118,694,815"
CEEK VR,$0.147,+1.76%,"$118,410,883"
Bitcoin Standard Hashrate Token,$9.50,-7.33%,"$115,957,995"
ConstitutionDAO,$0.02233,+1.10%,"$112,988,743"
Syscoin,$0.1698,-0.19%,"$112,412,653"
Celer Network,$0.01557,+0.86%,"$110,342,137"
Constellation,$0.08504,+0.11%,"$107,741,315"
Nano,$0.8046,-0.92%,"$107,207,115"
NuCypher,$0.1524,+0.52%,"$107,136,259"
Request,$0.1055,+0.76%,"$105,510,835"
Ontology Gas,$0.3284,-0.26%,"$105,256,999"
Spell Token,$0.001013,+0.47%,"$103,909,756"
Ultra,$0.34,+1.43%,"$103,282,534"
iExec RLC,$1.27,+1.84%,"$102,497,059"
Orbs,$0.03533,+0.40%,"$101,634,366"
Vulcan Forged PYR,$4.23,-3.74%,"$101,045,171"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Numeraire,$16.91,-15.79%,"$99,588,813"
Function X,$0.2427,-0.93%,"$99,150,936"
Tribe,$0.2186,-0.93%,"$99,131,812"
Status,$0.02849,-0.52%,"$98,875,931"
Acala Token,$0.1856,+3.41%,"$98,260,135"
Ardor,$0.09755,-0.50%,"$97,450,791"
Reef,$0.004783,+1.46%,"$96,570,738"
API3,$1.71,+1.31%,"$96,510,193"
Ocean Protocol,$0.1554,+0.92%,"$95,260,087"
Powerledger,$0.1952,+0.36%,"$94,754,039"
Prom,$5.75,-0.98%,"$94,537,370"
Dent,$0.0009337,+0.80%,"$92,443,078"
MX TOKEN,$0.9219,+0.24%,"$92,185,563"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,250.04",-0.76%,"$388,199,537,488"
Ethereum,"$1,357.69",-0.55%,"$166,543,058,370"
Tether,$1.00,+0.00%,"$68,070,568,703"
BNB,$294.19,+0.52%,"$47,464,186,976"
USD Coin,$1.00,-0.01%,"$46,513,567,532"
XRP,$0.4947,-2.80%,"$24,665,453,480"
Binance USD,$1.00,-0.01%,"$21,042,742,606"
Cardano,$0.4323,+0.34%,"$14,807,941,332"
Solana,$34.21,-0.74%,"$12,151,998,652"
Dogecoin,$0.06523,-1.11%,"$8,653,917,725"
Polygon,$0.8498,-1.91%,"$7,422,459,751"
Polkadot,$6.40,+0.88%,"$7,190,451,230"
Dai,$0.9998,+0.01%,"$6,814,836,956"
Shiba Inu,$0.00001144,-0.28%,"$6,281,466,574"
TRON,$0.06255,-0.68%,"$5,775,677,576"
Uniswap,$6.78,-1.40%,"$5,167,151,237"
Avalanche,$17.34,+0.08%,"$5,133,309,278"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.23,-1.65%,"$4,039,184,591"
Litecoin,$54.79,-0.17%,"$3,907,978,585"
Chainlink,$7.91,-2.29%,"$3,889,007,419"
Ethereum Classic,$27.64,+0.25%,"$3,793,211,377"
Cosmos,$12.95,+0.55%,"$3,707,264,945"
FTX Token,$24.88,+0.27%,"$3,333,705,542"
Stellar,$0.1196,+0.68%,"$3,049,649,825"
NEAR Protocol,$3.72,-3.33%,"$2,976,766,990"
Cronos,$0.1106,+0.10%,"$2,794,455,301"
Monero,$146.94,-0.97%,"$2,671,822,809"
Algorand,$0.3526,+0.83%,"$2,473,526,223"
Bitcoin Cash,$123.02,-1.25%,"$2,361,130,724"
Terra Classic,$0.000299,+4.91%,"$1,839,440,052"
Flow,$1.69,+0.87%,"$1,751,833,644"
Toncoin,$1.42,-1.19%,"$1,733,520,900"
VeChain,$0.02386,+0.55%,"$1,730,431,112"
Quant,$137.75,+2.98%,"$1,663,005,108"
Filecoin,$5.60,-0.23%,"$1,644,527,937"
ApeCoin,$5.22,+1.10%,"$1,600,690,016"
Internet Computer,$6.03,+1.36%,"$1,582,936,593"
Hedera,$0.05803,+0.41%,"$1,332,876,598"
Decentraland,$0.7068,-0.94%,"$1,311,228,447"
Tezos,$1.43,+1.53%,"$1,304,848,121"
The Sandbox,$0.8667,-2.38%,"$1,299,555,152"
Chiliz,$0.2165,+0.79%,"$1,299,049,292"
Elrond,$54.87,+2.44%,"$1,290,559,619"
EOS,$1.18,+1.83%,"$1,180,695,116"
Aave,$78.46,+0.05%,"$1,105,814,474"
Theta Network,$1.08,-0.70%,"$1,082,044,913"
Axie Infinity,$12.81,+0.22%,"$1,064,355,570"
Bitcoin SV,$49.48,-1.25%,"$949,505,732"
Pax Dollar,$0.9998,+0.13%,"$945,449,018"
OKB,$15.62,+0.49%,"$936,985,632"
KuCoin Token,$9.13,+0.36%,"$898,144,894"
TrueUSD,$1.00,-0.05%,"$891,215,536"
Zcash,$56.88,-0.31%,"$876,732,348"
Maker,$837.14,+1.72%,"$818,412,714"
eCash,$0.00004229,-0.56%,"$811,540,895"
USDD,$1,-0.05%,"$786,746,316"
IOTA,$0.2751,+1.93%,"$764,548,097"
BitTorrent-New,$0.0000007937,-0.78%,"$748,180,641"
Helium,$5.65,-7.76%,"$720,786,227"
The Graph,$0.09965,+0.66%,"$687,613,400"
Neutrino USD,$0.9736,+0.01%,"$662,296,818"
PancakeSwap,$4.70,+1.49%,"$655,707,032"
Huobi Token,$4.11,-0.81%,"$630,422,147"
Neo,$8.71,+2.28%,"$614,472,785"
Klaytn,$0.1894,+0.45%,"$579,192,632"
Fantom,$0.2262,+0.58%,"$575,662,391"
PAX Gold,"$1,709.41",+0.39%,"$555,916,915"
Synthetix,$2.32,+0.65%,"$553,607,286"
THORChain,$1.65,-0.82%,"$545,492,805"
Nexo,$0.8944,+0.19%,"$500,884,564"
Curve DAO Token,$0.9044,+0.27%,"$480,769,593"
GateToken,$4.42,-1.19%,"$479,018,632"
Lido DAO,$1.53,+2.13%,"$478,616,236"
Dash,$42.15,-0.25%,"$461,335,195"
Basic Attention Token,$0.305,+0.83%,"$456,117,239"
Enjin Coin,$0.453,+0.79%,"$452,970,040"
Stacks,$0.3269,+0.10%,"$437,216,655"
Kava,$1.56,-0.70%,"$436,604,249"
Compound,$59.33,+1.01%,"$431,126,158"
Fei USD,$0.9946,-0.65%,"$422,705,696"
Zilliqa,$0.03151,+0.91%,"$421,484,855"
Waves,$3.82,+0.58%,"$418,184,244"
Mina,$0.5924,+0.15%,"$413,404,300"
Ravencoin,$0.03455,+2.79%,"$405,622,113"
Trust Wallet Token,$0.9481,-4.01%,"$395,034,921"
Reserve Rights,$0.00931,-0.17%,"$393,853,462"
Loopring,$0.295,+1.07%,"$392,443,820"
Decred,$26.62,-0.70%,"$383,375,700"
Convex Finance,$5.64,-5.58%,"$381,904,234"
XDC Network,$0.03056,+2.45%,"$376,074,015"
NEM,$0.04168,-0.93%,"$375,115,373"
STEPN,$0.6249,+0.12%,"$374,934,023"
Kusama,$43.14,+0.95%,"$365,382,684"
Celo,$0.7791,+0.65%,"$364,540,074"
Bitcoin Gold,$20.49,+0.80%,"$358,919,440"
Holo,$0.002031,-0.29%,"$352,050,892"
Ethereum Name Service,$17.21,-6.98%,"$348,424,746"
1inch Network,$0.5833,+0.15%,"$340,571,193"
Terra,$2.54,-0.74%,"$324,005,334"
Celsius,$1.35,+0.80%,"$323,617,530"
BinaryX,$157.09,-1.16%,"$317,768,476"
Arweave,$9.50,+1.09%,"$317,360,944"
yearn.finance,"$8,320.69",-0.69%,"$304,851,116"
Oasis Network,$0.06051,+1.06%,"$304,196,676"
Qtum,$2.88,+0.53%,"$300,454,607"
Gemini Dollar,$0.9961,+0.37%,"$300,299,967"
Ankr,$0.03101,-0.65%,"$299,662,882"
Gnosis,$116.06,+4.12%,"$299,394,618"
TerraClassicUSD,$0.03034,+3.90%,"$297,794,530"
Gala,$0.04117,+0.22%,"$287,221,057"
Kadena,$1.41,-0.37%,"$278,999,967"
Theta Fuel,$0.05238,+0.02%,"$277,673,390"
IoTeX,$0.02833,+0.74%,"$270,265,471"
Braintrust,$2.18,+2.69%,"$266,332,929"
Golem,$0.2643,-0.02%,"$264,346,942"
Harmony,$0.01974,+1.19%,"$249,772,186"
OMG Network,$1.72,+0.95%,"$240,744,464"
Polymath,$0.2515,+2.45%,"$232,658,740"
Flux,$0.8232,+3.49%,"$228,761,996"
Livepeer,$9.21,+3.44%,"$228,375,911"
0x,$0.2688,+0.46%,"$227,841,614"
Balancer,$5.19,+0.32%,"$227,486,742"
Hive,$0.5061,-0.91%,"$225,329,528"
JUST,$0.02531,+1.08%,"$225,309,983"
IOST,$0.01189,+0.84%,"$220,943,564"
BORA,$0.2376,+0.41%,"$220,407,778"
ICON,$0.2389,+0.50%,"$219,651,337"
Amp,$0.005116,-0.66%,"$216,016,709"
Symbol,$0.03732,+2.04%,"$208,334,691"
Serum,$0.786,+0.20%,"$206,901,661"
Kyber Network Crystal v2,$1.15,+0.11%,"$204,926,571"
Optimism,$0.8601,+1.19%,"$201,899,197"
Ontology,$0.2264,+0.53%,"$198,139,897"
SwissBorg,$0.1961,-4.14%,"$196,067,754"
Storj,$0.454,+0.56%,"$187,482,014"
WAX,$0.08562,+1.40%,"$187,431,725"
Moonbeam,$0.4706,-0.54%,"$187,263,996"
Immutable X,$0.7938,-0.37%,"$186,776,600"
Chia,$34.73,-1.96%,"$183,323,693"
Siacoin,$0.003505,+0.40%,"$183,023,342"
Casper,$0.02996,+1.55%,"$182,782,410"
MXC,$0.06833,-0.13%,"$180,534,497"
Horizen,$13.97,+2.90%,"$180,137,157"
SXP,$0.3582,+0.52%,"$179,003,741"
Audius,$0.2143,+2.74%,"$178,054,127"
WOO Network,$0.1403,+2.50%,"$161,981,571"
UMA,$2.35,-1.75%,"$161,844,544"
ABBC Coin,$0.1579,+0.81%,"$161,102,413"
Smooth Love Potion,$0.003735,-12.90%,"$160,371,128"
SKALE Network,$0.03903,+0.94%,"$155,665,395"
SushiSwap,$1.21,-6.28%,"$153,740,639"
PlayDapp,$0.3147,+0.57%,"$153,644,742"
Secret,$0.9332,+1.52%,"$152,387,911"
Voyager Token,$0.5468,+1.45%,"$152,265,808"
DigiByte,$0.009591,+1.22%,"$150,567,007"
APENFT,$0.0000005381,-2.19%,"$149,096,194"
Injective,$1.94,-6.26%,"$141,713,483"
COTI,$0.1263,-1.92%,"$139,975,487"
Dogelon Mars,$0.0000002532,-0.35%,"$138,676,501"
Pundi X (New),$0.5101,-5.38%,"$131,850,432"
Ren,$0.1302,-3.62%,"$130,109,240"
DAO Maker,$1.41,+2.55%,"$129,676,426"
Civic,$0.1281,+0.19%,"$128,147,031"
Velas,$0.05374,+3.24%,"$126,782,136"
Nervos Network,$0.003778,+1.74%,"$125,943,892"
Render Token,$0.4941,+3.06%,"$125,399,992"
Lisk,$0.9683,-0.34%,"$124,813,618"
Keep Network,$0.1433,+0.07%,"$123,346,258"
MediBloc,$0.01945,+0.29%,"$121,048,916"
Energy Web Token,$3.95,-1.11%,"$118,694,815"
CEEK VR,$0.1461,+4.03%,"$117,688,796"
Bitcoin Standard Hashrate Token,$9.50,-7.33%,"$115,957,995"
ConstitutionDAO,$0.02233,+1.10%,"$112,988,743"
Syscoin,$0.1698,-0.19%,"$112,412,653"
Celer Network,$0.01558,+0.87%,"$110,382,149"
Constellation,$0.08504,+0.11%,"$107,741,315"
Nano,$0.8068,-1.16%,"$107,509,299"
NuCypher,$0.1523,+0.62%,"$107,075,854"
Request,$0.1055,+0.66%,"$105,454,477"
Ontology Gas,$0.3284,-0.26%,"$105,256,999"
Spell Token,$0.001013,+0.47%,"$103,909,756"
Ultra,$0.34,+1.43%,"$103,282,534"
iExec RLC,$1.27,+1.84%,"$102,497,059"
Orbs,$0.03533,+0.40%,"$101,634,366"
Vulcan Forged PYR,$4.23,-3.74%,"$101,045,171"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Numeraire,$16.91,-15.79%,"$99,588,813"
Function X,$0.2427,-0.93%,"$99,150,936"
Tribe,$0.2186,-0.93%,"$99,131,812"
Status,$0.02849,-0.52%,"$98,875,931"
Acala Token,$0.1856,+3.41%,"$98,260,135"
Ardor,$0.09755,-0.50%,"$97,450,791"
Reef,$0.004783,+1.46%,"$96,570,738"
API3,$1.71,+1.31%,"$96,510,193"
Ocean Protocol,$0.1554,+0.92%,"$95,260,087"
Powerledger,$0.1951,+0.38%,"$94,697,397"
Prom,$5.74,-0.88%,"$94,390,639"
Dent,$0.0009337,+0.80%,"$92,443,078"
MX TOKEN,$0.9214,+0.32%,"$92,141,687"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,244.06",-0.79%,"$388,084,753,173"
Ethereum,"$1,357.69",-0.55%,"$166,543,058,370"
Tether,$1.00,+0.00%,"$68,070,815,154"
BNB,$294.19,+0.52%,"$47,464,186,976"
USD Coin,$1.00,-0.01%,"$46,513,567,532"
XRP,$0.4947,-2.80%,"$24,665,453,480"
Binance USD,$1.00,-0.01%,"$21,042,742,606"
Cardano,$0.4323,+0.34%,"$14,807,941,332"
Solana,$34.22,-0.79%,"$12,153,963,394"
Dogecoin,$0.06523,-1.11%,"$8,653,917,725"
Polygon,$0.8497,-1.92%,"$7,421,374,639"
Polkadot,$6.40,+0.88%,"$7,190,451,230"
Dai,$0.9998,+0.01%,"$6,814,836,956"
Shiba Inu,$0.00001144,-0.28%,"$6,281,466,574"
TRON,$0.06255,-0.68%,"$5,775,677,576"
Uniswap,$6.78,-1.40%,"$5,167,151,237"
Avalanche,$17.34,+0.08%,"$5,133,309,278"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.23,-1.65%,"$4,039,184,591"
Litecoin,$54.79,-0.17%,"$3,907,978,585"
Chainlink,$7.91,-2.29%,"$3,889,007,419"
Ethereum Classic,$27.64,+0.25%,"$3,793,211,377"
Cosmos,$12.95,+0.55%,"$3,707,264,945"
FTX Token,$24.88,+0.27%,"$3,333,705,542"
Stellar,$0.1196,+0.68%,"$3,049,649,825"
NEAR Protocol,$3.71,-3.29%,"$2,974,319,804"
Cronos,$0.1106,+0.10%,"$2,794,455,301"
Monero,$146.94,-0.97%,"$2,671,822,809"
Algorand,$0.3526,+0.83%,"$2,473,526,223"
Bitcoin Cash,$122.97,-1.18%,"$2,360,192,582"
Terra Classic,$0.0002991,+3.93%,"$1,839,738,679"
Flow,$1.69,+0.87%,"$1,751,833,644"
Toncoin,$1.42,-1.19%,"$1,733,520,900"
VeChain,$0.02386,+0.55%,"$1,730,431,112"
Quant,$137.75,+2.98%,"$1,663,005,108"
Filecoin,$5.60,-0.34%,"$1,645,944,030"
ApeCoin,$5.22,+1.10%,"$1,600,690,016"
Internet Computer,$6.03,+1.36%,"$1,582,936,593"
Hedera,$0.05803,+0.41%,"$1,332,876,598"
Decentraland,$0.7068,-0.94%,"$1,311,228,447"
Tezos,$1.43,+1.53%,"$1,304,848,121"
The Sandbox,$0.8667,-2.38%,"$1,299,555,152"
Chiliz,$0.2165,+0.79%,"$1,299,049,292"
Elrond,$54.87,+2.44%,"$1,290,559,619"
EOS,$1.18,+1.83%,"$1,180,695,116"
Aave,$78.46,+0.05%,"$1,105,814,474"
Theta Network,$1.08,-0.70%,"$1,082,044,913"
Axie Infinity,$12.81,+0.31%,"$1,064,232,375"
Bitcoin SV,$49.48,-1.25%,"$949,505,732"
Pax Dollar,$0.9998,+0.13%,"$945,449,018"
OKB,$15.62,+0.49%,"$936,985,632"
KuCoin Token,$9.13,+0.36%,"$898,144,894"
TrueUSD,$1.00,-0.05%,"$891,215,536"
Zcash,$56.88,-0.31%,"$876,732,348"
Maker,$837.14,+1.72%,"$818,412,714"
eCash,$0.00004229,-0.56%,"$811,540,895"
USDD,$1,-0.05%,"$786,746,316"
IOTA,$0.2751,+1.93%,"$764,548,097"
BitTorrent-New,$0.0000007937,-0.78%,"$748,180,641"
Helium,$5.66,-7.99%,"$722,609,882"
The Graph,$0.09965,+0.66%,"$687,613,400"
Neutrino USD,$0.9736,+0.01%,"$662,296,818"
PancakeSwap,$4.70,+1.49%,"$655,707,032"
Huobi Token,$4.11,-0.81%,"$630,422,147"
Neo,$8.71,+2.28%,"$614,472,785"
Klaytn,$0.1894,+0.45%,"$579,192,632"
Fantom,$0.2262,+0.58%,"$575,662,391"
PAX Gold,"$1,709.41",+0.39%,"$555,916,915"
Synthetix,$2.32,+0.56%,"$553,311,548"
THORChain,$1.65,-0.82%,"$545,492,805"
Nexo,$0.8944,+0.19%,"$500,884,564"
Curve DAO Token,$0.9044,+0.27%,"$480,769,593"
GateToken,$4.42,-1.19%,"$479,018,632"
Lido DAO,$1.53,+2.13%,"$478,616,236"
Dash,$42.15,-0.25%,"$461,335,195"
Basic Attention Token,$0.305,+0.83%,"$456,117,239"
Enjin Coin,$0.453,+0.79%,"$452,970,040"
Stacks,$0.3269,+0.10%,"$437,216,655"
Kava,$1.56,-0.70%,"$436,604,249"
Compound,$59.33,+1.01%,"$431,126,158"
Fei USD,$0.9946,-0.65%,"$422,705,696"
Zilliqa,$0.03151,+0.91%,"$421,484,855"
Waves,$3.82,+0.58%,"$418,184,244"
Mina,$0.5924,+0.15%,"$413,404,300"
Ravencoin,$0.03455,+2.79%,"$405,622,113"
Trust Wallet Token,$0.9481,-4.01%,"$395,034,921"
Reserve Rights,$0.00931,-0.17%,"$393,853,462"
Loopring,$0.295,+1.07%,"$392,443,820"
Decred,$26.62,-0.70%,"$383,375,700"
Convex Finance,$5.64,-5.58%,"$381,904,234"
XDC Network,$0.03056,+2.45%,"$376,074,015"
NEM,$0.04168,-0.93%,"$375,115,373"
STEPN,$0.6248,+0.22%,"$374,900,953"
Kusama,$43.14,+0.95%,"$365,382,684"
Celo,$0.7791,+0.65%,"$364,540,074"
Bitcoin Gold,$20.49,+0.80%,"$358,919,440"
Holo,$0.002031,-0.29%,"$352,050,892"
Ethereum Name Service,$17.21,-6.98%,"$348,424,746"
1inch Network,$0.5833,+0.15%,"$340,571,193"
Terra,$2.54,-0.74%,"$324,005,334"
Celsius,$1.35,+0.80%,"$323,617,530"
BinaryX,$157.09,-1.16%,"$317,768,476"
Arweave,$9.51,+1.11%,"$317,563,919"
yearn.finance,"$8,320.69",-0.69%,"$304,851,116"
Oasis Network,$0.06051,+1.06%,"$304,196,676"
Qtum,$2.88,+0.53%,"$300,454,607"
Gemini Dollar,$0.9961,+0.37%,"$300,299,967"
Ankr,$0.03101,-0.65%,"$299,662,882"
Gnosis,$116.06,+4.12%,"$299,394,618"
TerraClassicUSD,$0.03034,+3.90%,"$297,794,530"
Gala,$0.04117,+0.22%,"$287,221,057"
Kadena,$1.41,-0.37%,"$278,999,967"
Theta Fuel,$0.05238,+0.02%,"$277,673,390"
IoTeX,$0.02833,+0.74%,"$270,265,471"
Braintrust,$2.18,+2.69%,"$266,332,929"
Golem,$0.2643,-0.02%,"$264,346,942"
Harmony,$0.01974,+1.19%,"$249,772,186"
OMG Network,$1.72,+0.95%,"$240,744,464"
Polymath,$0.2515,+2.45%,"$232,658,740"
Flux,$0.8232,+3.49%,"$228,761,996"
Livepeer,$9.21,+3.44%,"$228,375,911"
0x,$0.2688,+0.46%,"$227,841,614"
Balancer,$5.19,+0.32%,"$227,486,742"
Hive,$0.5061,-0.91%,"$225,329,528"
JUST,$0.02531,+1.08%,"$225,309,983"
IOST,$0.01189,+0.84%,"$220,943,564"
BORA,$0.2376,+0.41%,"$220,407,778"
ICON,$0.2389,+0.50%,"$219,651,337"
Amp,$0.005116,-0.66%,"$216,016,709"
Symbol,$0.03732,+2.04%,"$208,334,691"
Serum,$0.786,+0.20%,"$206,901,661"
Kyber Network Crystal v2,$1.15,+0.11%,"$204,926,571"
Optimism,$0.8601,+1.19%,"$201,899,197"
Ontology,$0.2264,+0.53%,"$198,139,897"
SwissBorg,$0.1961,-4.14%,"$196,067,754"
Storj,$0.454,+0.56%,"$187,482,014"
WAX,$0.08562,+1.40%,"$187,431,725"
Moonbeam,$0.4706,-0.54%,"$187,263,996"
Immutable X,$0.7937,-0.30%,"$186,743,508"
Chia,$34.73,-1.96%,"$183,323,693"
Siacoin,$0.003505,+0.40%,"$183,023,342"
Casper,$0.02996,+1.55%,"$182,782,410"
MXC,$0.06833,-0.13%,"$180,534,497"
