Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность дней 
Аллергены,"Капуста брокколи IgE, F260",Сыворотка,Количественное определение специфических IgE-антител к брокколи. Аллергия на брокколи выявляется редко. У пациентов с аллергией на брокколи может быть перекрестная аллергия с другими видами капусты.,890,4
Аллергены,"Капуста брокколи IgG, F260",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости брокколи.",890,4
Аллергены,"Капуста брюссельская IgE, F217",Сыворотка,"Количественное определение специфических IgE-антител к брюссельскую капусте. Аллергия на брюссельскую капусту может проявляться весьма разнообразно. Одна из самых легких форм – это появление крапивницы и оральная аллергия. Тяжелым проявлением может быть анафилактический шок, который является жизнеугрожающим состоянием.",890,4
Аллергены,"Капуста брюссельская IgG, F217",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости капусты брюссельской.",890,4
Аллергены,"Капуста кочанная IgE, F216",Сыворотка,"Количественное определение специфических IgE-антител к капусте кочанной, которая может вызвать проявления аллергии у сенсибилизированных лиц. Реакции гиперчувствительности на капусту кочанную могут проявляться после употребления её в пищу, вдыхания пыльцы или контакта с кожей.",890,4
Аллергены,"Капуста кочанная IgG, F216",Сыворотка,Капуста кочанная вызывает медленное развитие симптомов пищевой непереносимости (не ранее чем через 3-5 дней после употребления ее в пищу). Данный тест используется для диагностики пищевой непереносимости к кочанной капусте.,890,4
Аллергены,"Капуста цветная IgE, F291",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к цветной капусте. В литературе описаны единичные случаи анафилактических реакций в виде орофарингеального зуда, отека лица и рук, одышки и тяжелого бронхоспазма через несколько минут после употребления блюда, содержащего цветную капусту.",890,4
Аллергены,"Капуста цветная IgG, F291",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости цветной капусты.",890,4
Аллергены,"Карри (приправа) IgE, F281",Сыворотка,"Карри приправу относят к средней степени аллергизирующей активности. Чаще всего встречаются такие проявления, как заболевания пищеварительной системы, кожи и органов дыхания. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",890,4
Аллергены,"Карри (приправа) IgG, F281",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости карри.",890,4
Аллергены,"Картофель IgE, F35",Сыворотка,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия на картофель, как правило, проявляется нарушением функции пищеварительной системы, кожными проявлениями и реже нарушениями функции дыхательной системы.",890,2
Аллергены,"Картофель IgG, F35",Сыворотка,Картофель вызывает медленное развитие симптомов пищевой непереносимости (не ранее чем через 5-7 дней после употребления его в пищу). Данный тест используется для диагностики пищевой непереносимости к картофелю.,890,4
Аллергены,"Кешью IgE, F202",Сыворотка,"Определение аллергенспецифических иммуноглобулинов класса E к кешью. Орех кешью является очень сильным аллергеном, даже более сильным, чем арахис. Такие тяжелые проявления аллергии, как тяжелый приступ бронхиальной астмы и падение артериального давления (анафилактический шок), при сенсибилизации к орехам кешью возникают значительно чаще, чем при сенсибилизации к арахису.",890,4
Аллергены,Кешью IgG,Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости кешью.",890,4
Аллергены,"Киви IgE, F84",Сыворотка,"Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа). Аллергия на киви у взрослых проходит тяжелее, чем у детей. Хотя груднички переносят аллергию хуже всех, даже если аллерген поступает к ним через грудное молоко. Симптомы могут появиться сразу или в течение 1-2 дней. У ребёнка это обычно сыпь и красные пятна на коже, у взрослых проблемы с дыхательной системой.",890,4
Аллергены,"Киви IgG, F84",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости киви.",890,4
Аллергены,"Клейковина (глютен) IgE, F79",Сыворотка,"Глютен, или клейковина, объединяет группу белков, являющихся составной частью семян злаковых растений, таких как пшеница, рожь, ячмень и овес. Как этиологический фактор пищевой аллергии он имеет высокую степень аллергизирующей активности.",890,2
Аллергены,"Клейковина (глютен) IgG, F79",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости глютена.",890,9
Аллергены,"Клен ясенелистный (Acer negundo) IgE, T1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клену ясенелистному. К проявлениям аллергических реакций на пыльцу клена относятся сенная лихорадка, сезонный аллергический ринит, конъюнктивит, обострения бронхиальной астмы, возникающие в регионах распространения дерева. Описаны случаи развития аллергического контактного дерматита после воздействия пыльцы дерева на кожу сенсибилизированных лиц.",890,4
Аллергены,"Клещ-дерматофаг перинный (D.pteronyssinus) IgE, D1",Сыворотка,"Целью данного исследования является определение специфических IgE к аллергенам клеща D. pteronyssinus. Клещи домашней пыли являются одними из основных источников аллергенов в помещениях и составляют большую часть домашней пыли. Клиническими проявлениями аллергии на белки клещей домашней пыли являются симптомы круглогодичного аллергического ринита, конъюнктивита, бронхиальной астмы, атопического дерматита.",890,2
Аллергены,"Клубника IgE, F44",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клубнике. Аллергия на клубнику, как правило, сопровождается нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженного кишечника), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",890,4
Аллергены,"Клубника IgG, F44",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости клубники.",890,4
Аллергены,"Коза (эпителий) IgE, E80",Сыворотка,"Попадая в организм человека воздушно-капельным путем, микрочастицы эпителия козы вызывают симптомы аллергии первого типа, развивающейся в течение двух часов после контакта: слезоточивость; обильное выделение слизи из носовых пазух; навязчивый сухой кашель; головная боль; предобморочное состояние; покраснение кожных покровов; чесотка; одышка; отек лица и конечностей.",890,4
Аллергены,"Кокос IgE, F36",Сыворотка,"Количественное определение специфических IgE-антител к кокосу, который может вызвать проявления аллергии у сенсибилизированных лиц. Кокос относится к гипоаллергенным пищевым продуктам, однако он является редкой, но возможной причиной развития аллергических реакций у сенсибилизированных лиц. Аллергия на данный пищевой продукт может проявиться зудом во рту, кашлем, одышкой, бронхоспазмом, покраснением кожи, ангиоотеком, крапивницей, болью в животе, тошнотой, рвотой. В редких случаях возможны тяжелые жизнеугрожающие анафилактические реакции после употребления в пищу кокоса. Общий результат для всех аллергенов.",890,4
Аллергены,"Кокос IgG, F36",Сыворотка,Кокос вызывает быстрое развитие симптомов пищевой непереносимости (уже через 1-3 дня после употребления его в пищу). Данный тест используется для диагностики пищевой непереносимости к кокосу.,890,4
Аллергены,"Колосок душистый (Anthoxantum odoratum) IgE, G1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к колоску душистому.",890,4
Аллергены,"Комар (сем. Culicidae) IgE, I71",Сыворотка,"Основным аллергеном комара является его слюна, которая попадает в организм человека посредством укуса насекомого. Кроме того, при укусе комара возможно попадание в организм человека и продуктов его жизнедеятельности, что тоже может вызывать сенсибилизацию организма к этим антигенам. Проявлениями аллергии могут быть как местные реакции в виде аллергического дерматита, так и общие: крапивница, отек Квинке, анафилактический шок. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве указывает на наличие сенсибилизации организма к нему.",890,4
Аллергены,"Корова (перхоть) IgE, E4",Сыворотка,"Перхоть считается одним из основных (наряду с шерстью) аллергенов коровы. Перхоть коровы может являться компонентом пыли у работников животноводческих ферм, скотобоен или предприятий по переработке коровьих шкур. Данный тест имеет значение при диагностике бронхиальной астмы, экземы, атопического дерматита, респираторных аллергозов, аллергического конъюнктивита, вызванных контактом с аллергеном.",890,4
Аллергены,"Кострец безостый (Bromus inermis) IgE, G11",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кострецу безостому.",890,4
Аллергены,"Кофе IgE, F221",Сыворотка,"Целью данного исследования является определение специфических IgE к аллергенам кофе. Реакция на мелкодисперсную пыль зеленых кофейных бобов проявляется бронхиальной астмой, аллергическим ринитом и/или конъюнктивитом, контактным дерматитом.",890,4
Аллергены,"Кофе IgG, F221",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости кофе.",890,4
Аллергены,"Кошка (эпителий) IgE, E1",Сыворотка,"Целью данного теста является определение аллергической реакции к эпителию и перхоти кошки. Симптомы аллергии могут быть следующие: гиперемия, кожные высыпания, крапивница, зуд и расчесывание на коже, припухлости и отеки, покраснение и жжение слизистой глаз, слезотечение, отек век, чихание, кашель, одышка, бронхоспазм.",890,2
Аллергены,"Краб IgE, F23",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к крабу.",890,4
Аллергены,"Краб IgG, F23",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости краба.",890,4
Аллергены,"Крапива двудомная (Urtica dioica) IgE, W20",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце крапивы двудомной. Основные симптомы аллергии проявляются со стороны слизистых оболочек глаз, носа, верхних и нижних дыхательных путей. Наиболее выраженными будут проявления со стороны слизистой глаз и носа - риноконъюнктивальный синдром. Изначально симптомы аллергии могут выражаться в виде жжения и зуда под веками, краснотой и слезотечением, ощущением песка или инородных предметов в области глаз, светобоязни.",890,4
Аллергены,"Креветки IgE, F24",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к креветкам.",890,4
Аллергены,"Креветки IgG, F24",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости креветок.",890,4
Аллергены,"Кролик (эпителий) IgE, E82",Сыворотка,"Аллергия на кроликов встречается достаточно редко. Аллергическую реакцию вызывает белок, который выделяется порами, удаляется вместе с мочой и калом, а также содержится в самом мясе.",890,4
Аллергены,"Крыса (моча) IgE, E74",Сыворотка,"Количественное определение специфических IgE-антител к моче крысы, которая может вызвать проявления аллергии. Моча считается одним из основных аллергенов крысы. Распространению аллергена способствует регулярная уборка клеток с крысами без соблюдения элементарных правил гигиены, а также свободное перемещение крысы по квартире.",890,4
Аллергены,"Крыса (эпителий) IgE, E73",Сыворотка,При выявления аллергии к крысам используют определение специфических IgE и кожные дерматологические тесты.,890,4
Аллергены,"Кунжут IgE, F10",Сыворотка,"Кунжут, или сезам, является распространенной пряностью. Аллергические реакции на кунжут чаще встречаются у людей с определенными заболеваниями внутренних органов. При заболеваниях органов пищеварения, щитовидной железы стоит отказаться от употребления кунжута в любом виде. Большое значение имеет состояние иммунной системы. Если она ослаблена, когда кунжут попадает в организм, сразу начинаются аллергические реакции.",890,4
Аллергены,"Кунжут IgG, F10",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости кунжута.",890,4
Аллергены,"Куриное мясо IgE, F83",Сыворотка,"Количественное определение в крови специфических иммуноглобулинов E, появляющихся при наличии сенсибилизации к мясу курицы.",890,2
Аллергены,Куриное мясо IgG,Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости куриного мяса.",890,4
Аллергены,"Курица (перо) IgE, E85",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к перу курицы.",890,2
Аллергены,"Курица (протеины сыворотки) IgE, E219",Сыворотка,"Количественное определение специфических IgE-антител к протеинам сыворотки курицы – куриным антигенам, способных вызвать аллергическую реакцию. Протеины сыворотки курицы представляют собой микроскопические частички, которые могут содержаться в слюне, моче, выделениях кожи и оперении.",890,4
Аллергены,"Лавровый лист IgE, F278",Сыворотка,"Аллергия на лавровый лист – довольно редкое явление, но и при его употреблении иногда возникают аллергические реакции, которые могут проявляться в виде сыпи, отеков, дискомфорта в желудке, астмы и экземы. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",890,4
Аллергены,"Лавровый лист IgG, F278",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости лаврового листа.",890,4
Аллергены,"Латекс IgE, K82",Сыворотка,"Латекс производится из молочной жидкости, выделяемой каучуковым деревом – бразильской гевеей. Воздействие латексного аллергена может привести к дерматиту, крапивнице, конъюнктивиту, риниту, приступу бронхиальной астмы и анафилактическому шоку, в некоторых случаях отмечаются желудочно-кишечные расстройства. Сенсибилизация к латексу наиболее надежно и безопасно подтверждается с помощью измерения латекс-специфического иммуноглобулина E.",890,4
Аллергены,"Лебеда сереющая (Atriplex canescens) IgE, W75",Сыворотка,"Пыльца лебеды и других представителей семейства амарантовых является значимым аллергеном для детей и взрослых с аллергическим ринитом, аллергическим конъюнктивитом и бронхиальной астмой. Во всех случаях аллергических реакций на лебеду в сыворотке крови определяются высокие уровни специфически опосредованных IgE.",890,4
Аллергены,"Лещина обыкновенная (Corylus avellana) IgE, T4",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце лещины обыкновенной. Встречаются перекрёстные аллергические реакции на пыльцу дуба, ольхи, берёзы, бука, а также на некоторые пищевые аллергены - мёд, яблоки, орехи, вишни, персики, абрикосы, черешню, клубнику, молодой картофель, морковь, маслины, оливки, берёзовый сок, коньяк.",890,4
Аллергены,"Лимон IgE, F208",Сыворотка,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия к лимону, как правило, проявляется нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженной кишки), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже - нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",890,4
Аллергены,"Лимон IgG, F208",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости лимона.",890,4
Аллергены,"Липа, t208",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце липы.",890,3
Аллергены,"Лисохвост луговой (Alopecurus pratensis) IgE, G16",Сыворотка,"Определение специфических IgE к аллергенам Лисохвоста лугового (Alopecurus pratensis). Аллергия на сорные травы проявляется поллинозом (аллергия на пыльцу), во время цветения. Поллиноз протекает с преобладанием поражения верхних дыхательных путей и слизистой оболочки глаз.",890,4
Аллергены,"Лобстер (омар) IgE, F80",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к лобстеру.",890,4
Аллергены,"Лобстер (омар) IgG, F80",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости лобстера.",890,4
Аллергены,"Лосось IgE, F41",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к лососю.",890,4
Аллергены,"Лосось IgG, F41",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости лосося.",890,4
Аллергены,"Лошадь (перхоть) IgE, E3",Сыворотка,"Перхоть лошади является очень сильным аллергеном и может вызывать тяжелые приступы удушья, например при посещении цирка или катании на лошадях. Аллергия к перхоти лошади может проявляться в виде ринита (заложенности носа и насморка), конъюнктивита (покраснения и слезотечения глаз), бронхиальной астмы (приступов затрудненного и свистящего дыхания), зуда, пятен и расчесов на коже.",890,4
Аллергены,"Лук IgE, F48",Сыворотка,"Количественное определение специфических IgE-антител к репчатому луку. Часто симптомы аллергии возникают в виде риноконъюнктивита, одышки и кашля.",890,4
Аллергены,"Лук IgG, F48",Сыворотка,Лук вызывает медленное развитие симптомов пищевой непереносимости (не ранее чем через 5-7 дней после употребления его в пищу). Данный тест используется для диагностики пищевой непереносимости к луку.,890,4
Аллергены,"Манго IgE, F91",Сыворотка,"Основной участник аллергической реакции немедленного типа (1-го типа) – иммуноглобулин класса Е (IgE). Для каждого аллергена существует специфический иммуноглобулин Е. 
 
Манго - тропический фрукт, способный вызывать аллергические реакции - не только пищевую аллергию, но также дерматит. Кожную реакцию вызывает контакт с кожурой фрукта, так как она содержит маслянистое органическое вещество урушиол.",890,4
Аллергены,"Манго IgG, F91",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости манго.",890,4
Аллергены,"Марь белая (Chenopodium album) IgE, W10",Сыворотка,"Марь нередко путают с растениями этого же семейства – лебедой. Одним из проявлений перекрестной аллергии может быть оральный аллергический синдром – появление отечности, покалывания и зуда в области десен, языка, губ при употреблении в пищу перечисленных растительных пищевых продуктов. Во всех случаях аллергических реакций на марь белую в сыворотке крови определяются высокие уровни специфически опосредованных IgE.",890,4
Аллергены,"Масло подсолнечное IgE, K84",Сыворотка,"Тест на определение специфического иммуноглобулина Е к маслу подсолнечному. Оно относится к низкой степени аллергизирующей активностиАллергия проявляется заболеваниями пищеварительной системы, кожи и органов дыхания.",890,4
Аллергены,"Масло подсолнечное IgG, K84",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости масло подсолнечное.",890,4
Аллергены,"Местные анестетики № 1 Артикаин/Скандонест, IgE",Сыворотка,"Это комплексное исследование, позволяющее количественно определить уровень IgE-антител в крови отдельно к к местным анестетикам - артикаину и скандонесту.",1690,5
Аллергены,"Местные анестетики № 2 Новокаин/Лидокаин, IgE",Сыворотка,"Это комплексное исследование, позволяющее количественно определить уровень IgE-антител в крови отдельно к к местным анестетикам - новокаину и лидокаину.",1690,5
Аллергены,"Мидия IgE, F37",Сыворотка,"Количественное определение специфических IgE-антител к мидиям, которые могут вызвать клинические проявления аллергии у сенсибилизированных лиц.",890,4
Аллергены,"Мидия IgG, F37",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости мидий.",890,4
Аллергены,"Миндаль IgE, F20",Сыворотка,"Количественное определение специфических IgE-антител к миндалю, который может вызвать тяжелые аллергические реакции у сенсибилизированных лиц. Миндаль является частой причиной развития сенсибилизации и клинических проявлений аллергии.",890,4
Аллергены,Миндаль IgG,Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости миндаля.",890,4
Аллергены,"Молоко кипяченое IgE, F231",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кипяченому молоку.",890,4
Аллергены,"Молоко кипяченое IgG, F231",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости кипяченого молока.",890,4
Аллергены,"Молоко коровье IgE, F2",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к коровьему молоку.",890,2
Аллергены,"Молоко коровье IgG, F2",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости коровьего молока.",890,4
Аллергены,"Моль (сем. Tineidae) IgE, I8",Сыворотка,"Платяная моль (Tineola bisselliella) – вид бабочек, относящийся к домашним вредителям. Моль предпочитает селиться в темных помещениях, щелях, шкафах. Отделяющиеся чешуйки с крыльев платяной моли входят в состав домашней пыли и вызывают симптомы в виде аллергического ринита и приступы бронхиальной астмы. Сенсибилизация к аллергенам платяной моли подтверждается определением высокого титра специфических IgE в сыворотке крови.",890,4
Аллергены,"Морковь IgE, F31",Сыворотка,Количественное определение специфических IgE-антител к моркови.,890,2
Аллергены,"Морковь IgG, F31",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости моркови.",890,4
Аллергены,"Морская свинка (эпителий) IgE, E6",Сыворотка,"Аллергия на морских свинок провоцируется индивидуальным аллергеном — специфическим иммуноглобулином Е, который вырабатывается в эпителиальных клетках животного. При попадании в человеческий организм этот белок может вызвать аллергическую реакцию. Повышается выработка гистамина и из-за этого вещества возникают раздражение и отеки слизистых оболочек, спазмы мускулатуры бронхов, а также другие типичные явления.",890,4
Аллергены,"Мошки красной личинка(Chironomus plumosus) IgE,I73",Сыворотка,"Комар-звонец - одно из самых распространенных насекомых, обитающих у пресной воды, встречается повсеместно. Источники аллергенов - продукты жизнедеятельности насекомых и тела погибших особей. Аллергические реакции обычно сопровождаются аллергическим дерматозом, крапивницей, ринитом, бронхиальной астмой.",890,4
Аллергены,"Мука гречневая IgE, F11",Сыворотка,Гречиха и гречневая мука – гипоаллергенные продукты и поэтому часто входят в состав лечебных диет. Анализ на аллергию к ним используется для их безопасного введения в лечебные диеты.,890,2
